160001,0
160002,0
160003,1
160004,0
160005,0
160006,0
160007,0
160008,0
160009,0
160010,0
160011,0
160012,0
160013,1
160014,0
160015,1
160016,0
160017,0
160018,0
160019,0
160020,1
160021,0
160022,0
160023,0
160024,0
160025,0
160026,0
160027,1
160028,0
160029,0
160030,1
160031,0
160032,0
160033,0
160034,1
160035,0
160036,1
160037,1
160038,0
160039,0
160040,0
160041,0
160042,0
160043,0
160044,0
160045,0
160046,0
160047,0
160048,1
160049,1
160050,0
160051,0
160052,0
160053,1
160054,1
160055,0
160056,0
160057,0
160058,1
160059,1
160060,0
160061,1
160062,0
160063,0
160064,0
160065,0
160066,0
160067,0
160068,0
160069,0
160070,0
160071,0
160072,0
160073,0
160074,0
160075,0
160076,0
160077,0
160078,0
160079,0
160080,0
160081,0
160082,0
160083,0
160084,0
160085,0
160086,1
160087,0
160088,0
160089,0
160090,0
160091,0
160092,1
160093,0
160094,0
160095,0
160096,0
160097,0
160098,0
160099,0
160100,0
160101,0
160102,0
160103,0
160104,0
160105,0
160106,0
160107,0
160108,0
160109,0
160110,1
160111,0
160112,0
160113,0
160114,0
160115,0
160116,1
160117,1
160118,0
160119,0
160120,0
160121,0
160122,0
160123,0
160124,0
160125,0
160126,0
160127,0
160128,1
160129,0
160130,0
160131,0
160132,0
160133,0
160134,0
160135,0
160136,0
160137,0
160138,1
160139,0
160140,1
160141,0
160142,0
160143,1
160144,0
160145,0
160146,0
160147,0
160148,0
160149,0
160150,0
160151,0
160152,1
160153,0
160154,0
160155,0
160156,1
160157,0
160158,0
160159,0
160160,0
160161,0
160162,0
160163,0
160164,0
160165,0
160166,0
160167,0
160168,0
160169,1
160170,0
160171,0
160172,0
160173,0
160174,0
160175,0
160176,0
160177,0
160178,1
160179,0
160180,1
160181,0
160182,1
160183,0
160184,0
160185,0
160186,0
160187,0
160188,0
160189,0
160190,0
160191,0
160192,0
160193,0
160194,0
160195,0
160196,0
160197,1
160198,0
160199,1
160200,0
160201,0
160202,0
160203,1
160204,0
160205,0
160206,1
160207,1
160208,0
160209,1
160210,1
160211,0
160212,0
160213,0
160214,0
160215,1
160216,1
160217,0
160218,0
160219,0
160220,0
160221,0
160222,0
160223,0
160224,0
160225,0
160226,0
160227,0
160228,0
160229,0
160230,0
160231,0
160232,0
160233,0
160234,0
160235,1
160236,0
160237,1
160238,0
160239,0
160240,1
160241,1
160242,0
160243,1
160244,0
160245,0
160246,0
160247,0
160248,0
160249,0
160250,0
160251,0
160252,0
160253,1
160254,0
160255,0
160256,0
160257,0
160258,1
160259,0
160260,0
160261,0
160262,0
160263,0
160264,0
160265,0
160266,0
160267,1
160268,1
160269,1
160270,0
160271,0
160272,0
160273,0
160274,0
160275,0
160276,1
160277,1
160278,0
160279,0
160280,0
160281,0
160282,0
160283,0
160284,0
160285,0
160286,0
160287,1
160288,0
160289,0
160290,0
160291,1
160292,1
160293,0
160294,1
160295,0
160296,0
160297,0
160298,1
160299,0
160300,0
160301,0
160302,1
160303,1
160304,0
160305,0
160306,0
160307,1
160308,0
160309,0
160310,0
160311,0
160312,0
